resource_id,title,file_path,size_bytes,company,category,subtopic,estimated_minutes,xp_reward,revision_priority
"dsa-res-250dsa-questions-for-placements","250+DSA QUESTIONS FOR PLACEMENTS","/resources/dsa/250+DSA QUESTIONS FOR PLACEMENTS.pdf",477995,"general","DSA","",30,50,"medium"
"tcs-res-pro-tcs-technical-paid-paper","Pro TCS Technical Paid Paper","/resources/tcs/Pro TCS Technical Paid Paper.pdf",263824,"tcs","Core Subjects","Technical & Coding",30,50,"high"
"tcs-res-tcs-answer1","TCS Answer(1)","/resources/tcs/TCS Answer(1).pdf",276375,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-aptitude-paid","TCS Aptitude Paid","/resources/tcs/TCS Aptitude Paid.pdf",5705713,"tcs","Aptitude","",120,150,"high"
"tcs-res-tcs-ninja-quantitative-aptitude-21","TCS Ninja Quantitative Aptitude 2(1)","/resources/tcs/TCS Ninja - Quantitative Aptitude_2(1).docx",552843,"tcs","Aptitude","Quantitative Aptitude",60,100,"medium"
"tcs-res-tcs-ninja-quantitative-aptitude-3r1","TCS Ninja Quantitative Aptitude 3(R)(1)","/resources/tcs/TCS Ninja - Quantitative Aptitude_3(R)(1).docx",601290,"tcs","Aptitude","Quantitative Aptitude",60,100,"medium"
"tcs-res-tcs-ninja-quantitative-aptitude-41","TCS Ninja Quantitative Aptitude 4(1)","/resources/tcs/TCS Ninja - Quantitative Aptitude_4(1).docx",449982,"tcs","Aptitude","Quantitative Aptitude",30,50,"medium"
"tcs-res-tcs-ninja-quantitative-aptitude-51","TCS Ninja Quantitative Aptitude 5(1)","/resources/tcs/TCS Ninja - Quantitative Aptitude_5(1).docx",254254,"tcs","Aptitude","Quantitative Aptitude",30,50,"medium"
"tcs-res-tcs-ninja-quantitative-aptitude-6","TCS Ninja Quantitative Aptitude 6","/resources/tcs/TCS Ninja - Quantitative Aptitude_6.docx",2066915,"tcs","Aptitude","Quantitative Aptitude",120,150,"medium"
"tcs-res-tcs-ninja-verbal-ability-21","TCS Ninja Verbal Ability 2(1)","/resources/tcs/TCS Ninja - Verbal Ability_2(1).docx",250390,"tcs","Verbal Ability","Verbal Ability",30,50,"medium"
"tcs-res-tcs-ninja-verbal-ability-31","TCS Ninja Verbal Ability 3(1)","/resources/tcs/TCS Ninja - Verbal Ability_3(1).docx",248995,"tcs","Verbal Ability","Verbal Ability",30,50,"medium"
"tcs-res-tcs-ninja-verbal-ability-41","TCS Ninja Verbal Ability 4(1)","/resources/tcs/TCS Ninja - Verbal Ability_4(1).docx",248460,"tcs","Verbal Ability","Verbal Ability",30,50,"medium"
"tcs-res-tcs-ninja-verbal-ability-5r1","TCS Ninja Verbal Ability 5(R)(1)","/resources/tcs/TCS Ninja - Verbal Ability_5(R)(1).docx",547108,"tcs","Verbal Ability","Verbal Ability",60,100,"medium"
"tcs-res-tcs-ninja-verbal-ability-6r","TCS Ninja Verbal Ability 6(R)","/resources/tcs/TCS Ninja - Verbal Ability_6(R).docx",1043445,"tcs","Verbal Ability","Verbal Ability",60,100,"medium"
"tcs-res-tcs-ninja-most-repeated-questions-from-past-years","TCS Ninja Most Repeated Questions from past years","/resources/tcs/TCS Ninja Most Repeated Questions from past years.pdf",476791,"tcs","Core Subjects","",30,50,"medium"
"tcs-res-tcs-paper-2015","tcs paper 2015","/resources/tcs/tcs paper 2015.pdf",486760,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-pdf-2","TCS PDF 2.","/resources/tcs/TCS PDF 2..pdf",875795,"tcs","Previous Year Questions","",60,100,"medium"
"tcs-res-tcs-placement-paper-2013","tcs placement paper 2013","/resources/tcs/tcs placement paper 2013.pdf",542444,"tcs","Previous Year Questions","",60,100,"medium"
"tcs-res-tcs-placement-paper","TCS Placement Paper","/resources/tcs/TCS Placement Paper.pdf",2269877,"tcs","Previous Year Questions","",120,150,"medium"
"tcs-res-tcs-placement-papers-1","TCS Placement Papers 1","/resources/tcs/TCS Placement Papers 1.pdf",465046,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-placement-papers-10","TCS Placement Papers 10","/resources/tcs/TCS Placement Papers 10.pdf",869801,"tcs","Previous Year Questions","",60,100,"medium"
"tcs-res-tcs-placement-papers-11","TCS Placement Papers 11","/resources/tcs/TCS Placement Papers 11.pdf",621599,"tcs","Previous Year Questions","",60,100,"medium"
"tcs-res-tcs-placement-papers-2","TCS Placement Papers 2","/resources/tcs/TCS Placement Papers 2.pdf",309508,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-placement-papers-2014","tcs placement papers 2014","/resources/tcs/tcs placement papers 2014.pdf",371703,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-placement-papers-3","TCS Placement Papers 3","/resources/tcs/TCS Placement Papers 3.pdf",245662,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-placement-papers-4","TCS Placement Papers 4","/resources/tcs/TCS Placement Papers 4.pdf",318184,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-placement-papers-5","TCS Placement Papers 5","/resources/tcs/TCS Placement Papers 5.pdf",271107,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-question","TCS QUESTION","/resources/tcs/TCS QUESTION.pdf",2581820,"tcs","Previous Year Questions","",120,150,"medium"
"tcs-res-tcs-technical-paid-paper-good","TCS Technical Paid Paper GOOD","/resources/tcs/TCS Technical Paid Paper GOOD.pdf",190457,"tcs","Core Subjects","Technical & Coding",30,50,"high"
"tcs-res-tcs-technical-questions-good","TCS Technical Questions GOOD","/resources/tcs/TCS Technical Questions GOOD.pdf",500832,"tcs","Core Subjects","Technical & Coding",60,100,"high"
"tcs-res-tcs-technical-questions","TCS Technical Questions","/resources/tcs/TCS Technical Questions.docx",28770,"tcs","Core Subjects","Technical & Coding",30,50,"medium"
"tcs-res-tcs-02t","TCS 02T","/resources/tcs/TCS_02T.docx",243776,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-03t","TCS 03T","/resources/tcs/TCS_03T.docx",244449,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-04c","TCS 04C","/resources/tcs/TCS_04C.docx",242993,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-05c","TCS 05C","/resources/tcs/TCS_05C.docx",243205,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-06c","TCS 06C","/resources/tcs/TCS_06C.docx",243228,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-placement-papers-with-answers-technical-round-kolkata-13-jan-2","TCS Placement Papers with Answers Technical Round Kolkata , 13 Jan (2)","/resources/tcs/TCS_Placement_Papers_with_Answers_Technical_Round_Kolkata_,_13_Jan (2).pdf",303497,"tcs","Core Subjects","Technical & Coding",30,50,"medium"
"tcs-res-tcs-previous-year-paper","TCS Previous Year Paper","/resources/tcs/TCS_Previous_Year_Paper.pdf",140312,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-quantitative-aptitude-question-paper-www-matterhere-com-nrr","TCS Quantitative Aptitude Question Paper www matterhere com NRR","/resources/tcs/TCS_Quantitative_Aptitude_Question_Paper_www_matterhere_com_NRR.pdf",67851,"tcs","Aptitude","Quantitative Aptitude",30,50,"medium"
"tcs-res-tcs-arthematic-placement-papers","TCS Arthematic Placement Papers","/resources/tcs/TCS-Arthematic-Placement-Papers.pdf",140376,"tcs","Aptitude","Arithmetic",30,50,"medium"
"tcs-res-tcs-coding-programming-questions","TCS Coding Programming Questions","/resources/tcs/TCS-Coding-Programming-Questions.pdf",426533,"tcs","DSA","Technical & Coding",30,50,"medium"
"tcs-res-tcs-model-question-papers","TCS Model Question Papers","/resources/tcs/TCS-Model-Question-Papers.pdf",144858,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-ninja-quants-primer","tcs ninja quants primer","/resources/tcs/tcs-ninja-quants-primer.pdf",532222,"tcs","Aptitude","",60,100,"medium"
"tcs-res-tcs-nrr","tcs nrr","/resources/tcs/tcs-nrr.pdf",739569,"tcs","Previous Year Questions","",60,100,"medium"
"tcs-res-tcs-placement-aptitude-papers","TCS Placement Aptitude Papers","/resources/tcs/TCS-Placement-Aptitude-Papers.pdf",120995,"tcs","Aptitude","",30,50,"medium"
"tcs-res-tcs-placement-coding-papers","TCS Placement Coding Papers","/resources/tcs/TCS-Placement-Coding-Papers.pdf",133265,"tcs","DSA","Technical & Coding",30,50,"medium"
"tcs-res-tcs-placement-email-writing-papers","TCS Placement Email Writing Papers","/resources/tcs/TCS-Placement-Email-Writing-Papers.pdf",118237,"tcs","Verbal Ability","Verbal Ability",30,50,"medium"
"tcs-res-tcs-placement-papers-1-alt","Tcs Placement Papers 1","/resources/tcs/Tcs-Placement-Papers-1.pdf",296917,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-placement-papers","TCS Placement Papers","/resources/tcs/TCS-Placement-Papers.pdf",15203,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-previous-year-placement-question-paper","TCS Previous Year Placement Question Paper","/resources/tcs/TCS-Previous-Year-Placement-Question-Paper.pdf",126374,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs-sample-paper","TCS Sample paper","/resources/tcs/TCS-Sample-paper.pdf",297957,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcs17-02t","TCS17 02T","/resources/tcs/TCS17-02T.docx",246014,"tcs","Previous Year Questions","",30,50,"medium"
